TEXTURE PATH,L,T,W,H
graphics/title.png,0,1668,60,90
graphics/title.png,60,1668,60,90
graphics/title.png,120,1668,60,90
graphics/title.png,180,1668,60,90
graphics/title.png,240,1668,60,90
graphics/title.png,300,1668,60,90
graphics/title.png,360,1668,60,90
graphics/title.png,420,1668,60,90
graphics/title.png,480,1668,60,90
graphics/title.png,540,1668,60,90
graphics/title.png,600,1668,60,90
graphics/title.png,660,1668,60,90
graphics/title.png,720,1668,60,90
graphics/title.png,780,1668,60,90
graphics/title.png,840,1668,60,90
graphics/title.png,900,1668,60,90
graphics/title.png,960,1668,60,90
graphics/title.png,1020,1668,60,90
graphics/title.png,1080,1668,60,90
graphics/title.png,1140,1668,60,90
graphics/title.png,1200,1668,60,90
graphics/title.png,1260,1668,60,90
graphics/title.png,1320,1668,60,90
graphics/title.png,1380,1668,60,90
graphics/title.png,1440,1668,60,90
graphics/title.png,1500,1668,60,90
graphics/title.png,1560,1668,60,90
graphics/title.png,1620,1668,60,90
graphics/title.png,1680,1668,60,90
graphics/title.png,1740,1668,60,90
graphics/title.png,1800,1668,60,90
graphics/title.png,1860,1668,60,90
