TEXTURE PATH,L,T,W,H
graphics/title.png,0,363,100,150
graphics/title.png,100,363,100,150
graphics/title.png,200,363,100,150
graphics/title.png,300,363,100,150
graphics/title.png,400,363,100,150
graphics/title.png,500,363,100,150
graphics/title.png,600,363,100,150
graphics/title.png,700,363,100,150
graphics/title.png,800,363,100,150
graphics/title.png,900,363,100,150
graphics/title.png,1000,363,100,150
graphics/title.png,1100,363,100,150
graphics/title.png,1200,363,100,150
graphics/title.png,1300,363,100,150
graphics/title.png,1400,363,100,150
graphics/title.png,1500,363,100,150
graphics/title.png,1600,363,100,150
graphics/title.png,1700,363,100,150
graphics/title.png,1800,363,100,150
graphics/title.png,1900,363,100,150
graphics/title.png,2000,363,100,150
graphics/title.png,2100,363,100,150
graphics/title.png,2200,363,100,150
graphics/title.png,2300,363,100,150
graphics/title.png,0,513,100,150
graphics/title.png,100,513,100,150
graphics/title.png,200,513,100,150
graphics/title.png,300,513,100,150
graphics/title.png,400,513,100,150
graphics/title.png,500,513,100,150
graphics/title.png,600,513,100,150
graphics/title.png,700,513,100,150
graphics/title.png,800,513,100,150
graphics/title.png,900,513,100,150
graphics/title.png,1000,513,100,150
graphics/title.png,1100,513,100,150
graphics/title.png,1200,513,100,150
graphics/title.png,1300,513,100,150
graphics/title.png,1400,513,100,150
graphics/title.png,1500,513,100,150
graphics/title.png,1600,513,100,150
graphics/title.png,1700,513,100,150
graphics/title.png,1800,513,100,150
graphics/title.png,1900,513,100,150
graphics/title.png,2000,513,100,150
graphics/title.png,2100,513,100,150
graphics/title.png,2200,513,100,150
graphics/title.png,2300,513,100,150
